#Index@Reaction ID@Reaction Name@Reaction Formula@Gene Association@Genes@Protein Association@EC/TC Number@Pathway@Reversibility@Lower Bound@Upper Bound@Objective@Source@DGR@DGR_ERROR@KEGG Identifier@MetaCyc Identifier@BiGG Identifier@iMO1056 Identifier@Confidence Score@Notes@References@KEGG Pathway@MetaCyc Pathway@ModelSEED Pathway@Aliases@is_transporter
1@EX_cpd00001(e)@EX H2O e@cpd00001[e]  <=> @null@null@null@null@Boundary reaction@1@-1000@1000@0@iMO1056|Opt208964@null@null@null@null@null@null@null@null@null@null@null@null@null@null
2@EX_cpd00007(e)@EX Oxygen e@cpd00007[e]  <=> @null@null@null@null@Boundary reaction@1@-0.1@1000@0@iMO1056|Opt208964@null@null@null@null@null@null@null@null@null@null@null@null@null@null
3@EX_cpd00009(e)@EX Orthophosphate e@cpd00009[e]  <=> @null@null@null@null@Boundary reaction@1@-1000@1000@0@iMO1056|Opt208964@null@null@null@null@null@null@null@null@null@null@null@null@null@null
4@EX_cpd00011(e)@EX CO2 e@cpd00011[e]  <=> @null@null@null@null@Boundary reaction@1@-1000@1000@0@iMO1056|Opt208964@null@null@null@null@null@null@null@null@null@null@null@null@null@null
5@EX_cpd00013(e)@EX NH3 e@cpd00013[e]  <=> @null@null@null@null@Boundary reaction@1@-1000@1000@0@iMO1056|Opt208964@null@null@null@null@null@null@null@null@null@null@null@null@null@null
6@EX_cpd00018(e)@EX AMP e@cpd00018[e]  <=> @null@null@null@null@Boundary reaction@1@-1000@1000@0@Opt208964@null@null@null@null@null@null@null@null@null@null@null@null@null@null
7@EX_cpd00020(e)@EX Pyruvate e@cpd00020[e]  <=> @null@null@null@null@Boundary reaction@1@-1000@1000@0@iMO1056|Opt208964@null@null@null@null@null@null@null@null@null@null@null@null@null@null
8@EX_cpd00023(e)@EX L-Glutamate e@cpd00023[e]  <=> @null@null@null@null@Boundary reaction@1@-1000@1000@0@iMO1056|Opt208964@null@null@null@null@null@null@null@null@null@null@null@null@null@null
9@EX_cpd00024(e)@EX 2-Oxoglutarate e@cpd00024[e]  <=> @null@null@null@null@Boundary reaction@1@-1000@1000@0@iMO1056|Opt208964@null@null@null@null@null@null@null@null@null@null@null@null@null@null
10@EX_cpd00027(e)@EX D-Glucose e@cpd00027[e]  <=> @null@null@null@null@Boundary reaction@1@-1000@1000@0@iMO1056|Opt208964@null@null@null@null@null@null@null@null@null@null@null@null@null@null
